设备编号,下单时间,订单编号,购买数量（个）,手续费（元）,总金额（元）,支付状态,出货状态,收款方,退款金额（元）,购买用户,商品ID,商品详情,省市区,软件版本
112657,2018/4/30 16:06,112657qr15250756182825,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0syyfhXK-ueDqooPQTGarWE,商品0003,雪碧X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112636,2018/4/30 15:07,112636qr15250720597254,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0rf-fcISWmjhc6qfdpeGFyc,商品0003,雪碧330MLX1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112636,2018/4/30 15:07,112636qr15250720409630,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0gfMS3P-QlEcO6ch0aN-4fc,商品0003,雪碧330MLX1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112673,2018/4/30 13:49,112673qr15250673984795,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0t37A9WaDPeg9jPi2L89i4s,商品0003,雪碧X1;,广东省佛山市南海区,V3.0.37;rk3288;(900x1440)
112534,2018/4/30 2:32,112534qr15250267317322,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0uiqgec2AgGEbg5NcHzZgOg,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112535,2018/4/29 21:32,112535qr15250087366455,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0vZC0H1ABAzPPiy7jMF2yHs,商品0003,雪碧X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112536,2018/4/29 20:15,112536qr15250041405705,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0momTX4ms0azKc6BlZW7zHI,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112658,2018/4/29 20:10,112658qr15250038118616,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0qoRuEh3iB6t5rjAOpBedA0,商品0003,雪碧300MLX1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112658,2018/4/29 19:56,112658qr15250029785436,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0sBu573Eimx1J-SxXRTzL5U,商品0003,雪碧300MLX1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112635,2018/4/29 17:19,112635qr15249935523588,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0ivJ_R1y9LRvwFNHZsvLEKE,商品0003,雪碧300MLX1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112537,2018/4/29 16:41,112537qr15249912894283,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0pViutYDVBiQk89vr-1i0xI,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112697,2018/4/29 14:43,112697qr15249841811659,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0mrDQGC63ArZspih36lvTS4,商品0003,雪碧X1;,广东省中山市,V3.0.33;rk3288;(900x1440)
112705,2018/4/29 13:55,112705qr15249813163777,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0tGWU99Y386g8uuhLvIBE-c,商品0003,雪碧X1;,广东省广州市天河区,V3.0.35;rk3288;(900x1440)
112535,2018/4/29 12:33,112535qr15249763945949,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0nbsGj5Sn-Ca_i3WmgVqTag,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112535,2018/4/29 12:32,112535qr15249763686588,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0lBLc0lp4M_FXrC7rBryOnk,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112531,2018/4/29 10:14,112531qr15249680855248,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0mypKYi9fZnnaahlxONSDaQ,商品0003,雪碧X1;,广东省中山市,V2.1.55/1.2;rk3288
112534,2018/4/29 2:02,112534qr15249385554349,1,0.03,2.5,微信,出货成功,鑫零售结算,0,ooCjVwGlFQbkRohFqp3RvbouV5yQ,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112658,2018/4/29 0:59,112658qr15249347515220,1,0.04,3.5,微信,出货成功,鑫零售结算,0,ooCjVwG6grjRbgMX2KhxGiGIe-2U,商品0003,雪碧X1;,广东省广州市增城区,V2.1.55/1.2;rk3288
