店铺名称,手机品牌,商品编号,商品名称,CPU型号,后摄主摄像素,前摄主摄像素,系统,商品评价量,手机价格
欧申达手机专营店,百事乐,10043700000000,新款百事乐智能,其他,其他,其他,Android,1000+,679.0
一加手机京东自营官方旗舰店,一加,100021000000,一加Ace,天玑8100,5000万像素,1600万像素,Android,1万+,2999.0
京东移动生态自营专区,荣耀,100018000000,荣耀荣耀X30,其他,其他,其他,Android,1000+,1589.0
金立手机京东自营旗舰店,金立,100030000000,金立K13Pro,其他,1300万像素,500万像素,Android,1万+,699.0
京合旗舰店,荣耀,10042000000000,荣耀（HONOR）荣耀X30,其他,4800万像素,1600万像素,Android,2000+,2299.0
Apple产品京东自营旗舰店,Apple,100008000000,AppleiPhone 11,其他,1200万像素,1200万像素,iOS,500万+,3899.0
realme真我京东自营旗舰店,真我,100015000000,真我,天玑1200,6400万像素,1600万像素,Android,5万+,1699.0
朵唯手机京东自营旗舰店,朵唯,100028000000,朵唯D60promax,其他,1600万像素,1300万像素,Android,1万+,699.0
vivo京东自营官方旗舰店,vivo,100038000000,vivoS15e,三星Exynos 1080,5000万像素,1600万像素,Android,2000+,2499.0
华为京东自营官方旗舰店,华为,100021000000,华为nova 8 Pro,麒麟985,6400万像素,3200万像素,其他,50万+,3799.0
京东之家官方旗舰店,荣耀,10032100000000,荣耀（HONOR）荣耀50,骁龙778G,10800万像素,3200万像素,Android,2万+,2389.0
荣耀京东自营旗舰店,荣耀,100022000000,荣耀play5 ,天玑800U,6400万像素,1600万像素,Android,20万+,1499.0
诺基亚手机京东自营旗舰店,诺基亚,100027000000,诺基亚诺基亚G50,其他,4800万像素,800万像素,Android,2000+,1999.0
掌视界数码旗舰店,华为,10046500000000,华为（HUAWEI）nova9 系列,其他,其他,其他,HarmonyOS 2.0.1,2000+,2319.0
纽曼手机旗舰店,纽曼,10039400000000,纽曼（Newman）X13,其他,其他,其他,其他,1万+,459.0
Hi nova京东自营旗舰店,Hi nova,100030000000,Hi nova9 Pro,骁龙778G,5000万像素,3200万像素,Android,5000+,3399.0
中国移动官方旗舰店,小米,100011000000,小米Redmi 9A,其他,其他,其他,Android,2万+,599.0
京联通达旗舰店,荣耀,10032600000000,荣耀（HONOR）荣耀50se,天玑900,1亿像素,1600万像素,Android,5000+,1548.0
华为京东自营官方旗舰店,华为,100014000000,华为P50,骁龙888 4G,5000万像素,1300万像素,HarmonyOS 2,5万+,4388.0
iQOO京东官方自营旗舰店,vivo,100017000000,vivoiQOO 9 Pro,骁龙8 Gen 1,5000万像素,1600万像素,Android,2万+,4999.0
金诚腾达手机旗舰店,天语,10026500000000,天语（K-Touch）T12Pro,其他,其他,其他,Android,5000+,689.0
荣耀京东自营旗舰店,荣耀,100017000000,荣耀畅玩30 Plus,其他,1300万像素,500万像素,其他,2万+,1099.0
京东之家官方旗舰店,荣耀,10030000000000,荣耀畅玩20 ,Unisoc T610,其他,其他,Android,5万+,819.0
OPPO京东自营官方旗舰店,OPPO,100026000000,OPPOK9 Pro,天玑1200,6400万像素,1600万像素,Android,10万+,1899.0
OPPO酷炫手机专卖店,OPPO,10042500000000,OPPOK9x,天玑810,6400万像素,1600万像素,Android,2000+,1519.0
荣耀京东自营旗舰店,荣耀,100012000000,荣耀50 ,其他,10800万像素,3200万像素,Android,20万+,2499.0
京铠玄手机旗舰店,华为,10046700000000,华为（HUAWEI）HUAWEI P50E,其他,其他,其他,HarmonyOS 2,1000+,4458.0
京东移动生态自营专区,小米,100020000000,小米Redmi K50,其他,4800万像素,2000万像素,Android,200+,2599.0
realme真我京东自营旗舰店,真我,100031000000,真我GT 2 Pro,骁龙8 Gen 1,5000万像素,3200万像素,Android,2万+,3499.0
詹姆士手机旗舰店,金立,10035200000000,金立M30高端商务轻奢智能,其他,其他,其他,功能机,1000+,1199.0
iQOO京东官方自营旗舰店,vivo,100025000000,vivoiQOO 8 Pro,骁龙888 Plus,5000万像素,1600万像素,Android,5万+,4299.0
京铠玄手机旗舰店,华为,10038500000000,华为智选 优畅享20plus ,其他,其他,其他,Android,5000+,1299.0
OPPO京东自营官方旗舰店,OPPO,100037000000,OPPOK10,其他,6400万像素,1600万像素,Android,5000+,2199.0
VERTU中艺天工专卖店,VERTU,10039400000000,,其他,其他,其他,Android,100+,19800.0
iQOO官方旗舰店,vivo,10038300000000,vivovivo iQOO Z5x,天玑900,其他,800万像素,Android,1万+,1299.0
炜东电商旗舰店,华为,68389838718,华为（HUAWEI）nova 7 ,麒麟985,6400万像素,3200万像素,Android,2万+,2468.0
vivo京东自营官方旗舰店,vivo,100030000000,vivoS12,天玑1100,10800万像素,4400万像素,Android,5万+,2599.0
360 OS旗舰店,360 OS,10051800000000,360 OSQSN2201,其他,4800万像素,800万像素,Android,2,1898.0
realme真我京东自营旗舰店,真我,100012000000,真我GT 大师探索版,骁龙870,5000万像素,3200万像素,Android,20万+,3199.0
金诚腾达手机旗舰店,天语,10034000000000,天语（K-Touch）P50 pro,其他,1300万像素,500万像素,Android,2000+,489.0
京铠玄手机旗舰店,荣耀,10035300000000,荣耀x20 ,天玑900,6400万像素,1600万像素,Android,5000+,1329.0
荣耀京东自营旗舰店,荣耀,100034000000,荣耀荣耀,骁龙8 Gen 1,5000万像素,1200万像素,Android,2万+,4499.0
久汇通手机旗舰店,华为,10042500000000,华为（HUAWEI）nova9 ,骁龙778G,5000万像素,3200万像素,Android,2万+,2789.0
小米京东自营旗舰店,小米,100027000000,小米小米 Civi,骁龙778G,6400万像素,3200万像素,Android,5万+,2499.0
小米京东自营旗舰店,小米,100017000000,小米 11,骁龙888,1亿像素,2000万像素,Android,50万+,3499.0
黑鲨京东自营官方旗舰店,黑鲨,100019000000,黑鲨,骁龙888 Plus,6400万像素,2000万像素,Android,2000+,3499.0
vivo京东自营官方旗舰店,vivo,100038000000,vivoX80,其他,5000万像素,3200万像素,Android,5000+,4399.0
OPPO手机乐良专卖店,OPPO,10040900000000,OPPOReno 7,骁龙778G,6400万像素,3200万像素,Android,1000+,2269.0
华为京东自营官方旗舰店,华为,100020000000,华为P50 E,骁龙778G 4G,5000万像素,1300万像素,HarmonyOS 2,5000+,4488.0
京东移动生态自营专区,荣耀,100019000000,荣耀荣耀60 SE,其他,其他,其他,Android,1000+,2499.0
京东之家官方旗舰店,荣耀,10029200000000,荣耀play5t pro 6400万双摄 6.6英寸全视屏 老人学生,MediaTek Helio G80,6400万像素,1600万像素,Android,2万+,1079.0
iQOO智美专卖店,vivo,10027100000000,vivoiQOO Neo6,骁龙8 Gen 1,6400万像素,1600万像素,Android,5000+,3299.0
华为京东自营官方旗舰店,华为,100028000000,华为畅享 20e,其他,其他,其他,其他,20万+,999.0
魅族京东自营旗舰店,魅族,100007000000,魅族17,骁龙865,6400万像素,2000万像素,Android,5万+,1799.0
华为京东自营官方旗舰店,华为,100014000000,华为nova 9 Pro,其他,5000万像素,3200万像素,HarmonyOS 2,5万+,3699.0
摩托罗拉手机京东自营官方旗舰店,摩托罗拉,100025000000,摩托罗拉摩托罗拉edge s系列,骁龙870,1亿像素,1600万像素,Android,2万+,1999.0
iQOO官方旗舰店,vivo,10046000000000,vivoiQOO U5x,骁龙680,1300万像素,800万像素,Android,2000+,869.0
OPPO京东自营官方旗舰店,OPPO,100037000000,OPPOK10 Pro,骁龙888,5000万像素,1600万像素,Android,2000+,3199.0
诺基亚手机京东自营旗舰店,诺基亚,100015000000,诺基亚215,其他,无后置摄像头,无前置摄像头,功能机,10万+,269.0
小米京东自营旗舰店,小米,100020000000,小米小米11 Ultra,骁龙888,5000万像素,2000万像素,Android,10万+,5499.0
京域手机旗舰店,vivo,10047800000000,vivoS15e,三星Exynos 1080,5000万像素,1600万像素,Android,200+,2499.0
OPPO京东自营官方旗舰店,OPPO,100022000000,OPPOReno6 Pro,天玑1200,6400万像素,3200万像素,Android,2万+,2999.0
vivo京东自营官方旗舰店,vivo,100015000000,vivoT1,骁龙778G,6400万像素,1600万像素,Android,5万+,1899.0
